exp,targeted,sigma,acc,100,200,300,400,500,1000
1,1,0,74.73,58.6,76.6,84.4,88.3,92.2,100
1,1,0.01,75.09,49.2,63.3,75,84.4,87.5,100
1,1,0.02,74.54,39.1,55.5,69.5,77.3,82.8,90.6
1,1,0.03,72.97,34.4,50,57.8,63.3,67.2,80.5
1,1,0.04,69.02,31.2,47.7,54.7,61.7,64.8,76.6
1,1,0.05,62.29,31.2,43.8,51.6,61.7,63.3,79.7
1,1,0.06,53.04,19.5,28.1,33.6,38.3,42.2,53.9
1,1,0.07,44.54,20.3,28.1,32,34.4,37.5,57.8
1,1,0.08,38.53,24.2,35.2,40.6,44.5,46.9,56.2
1,1,0.09,34.1,21.9,25.8,34.4,39.8,43,52.3
1,0,0,74.73,97.7,100,100,100,100,100
1,0,0.01,75.09,97.7,100,100,100,100,100
1,0,0.02,74.54,98.4,100,100,100,100,100
1,0,0.03,72.97,99.2,100,100,100,100,100
1,0,0.04,69.02,100,100,100,100,100,100
1,0,0.05,62.29,100,100,100,100,100,100
1,0,0.06,53.04,100,100,100,100,100,100
1,0,0.07,44.54,99.2,100,100,100,100,100
1,0,0.08,38.53,100,100,100,100,100,100
1,0,0.09,34.1,99.2,100,100,100,100,100
2,1,0,74.02,57.8,88.3,96.9,100,100,100
2,1,0.01,74.07,47.7,70.3,85.9,93.8,96.1,100
2,1,0.02,74.64,43.8,72.7,85.9,89.8,91.4,100
2,1,0.03,75.27,25.8,51.6,67.2,75,84.4,100
2,1,0.04,74.85,21.9,50.8,61.7,65.6,72.7,92.2
2,1,0.05,74.27,24.2,42.2,45.3,52.3,60.9,78.9
2,1,0.06,73.4,21.9,35.2,41.4,48.4,53.9,74.2
2,1,0.07,69.99,18,25,34.4,38.3,43,55.5
2,1,0.08,66.79,18,26.6,31.2,32,35.9,51.6
2,1,0.09,61.12,18.8,24.2,30.5,39.1,41.4,54.7
2,0,0,74.02,95.3,95.3,95.3,100,100,100
2,0,0.01,74.07,95.3,96.1,96.1,100,100,100
2,0,0.02,74.64,91.4,96.1,96.1,100,100,100
2,0,0.03,75.27,85.9,97.7,100,100,100,100
2,0,0.04,74.85,84.4,100,100,100,100,100
2,0,0.05,74.27,85.2,96.1,96.1,100,100,100
2,0,0.06,73.4,86.7,100,100,100,100,100
2,0,0.07,69.99,83.6,93.8,96.1,100,100,100
2,0,0.08,66.79,86.7,95.3,100,100,100,100
2,0,0.09,61.12,90.6,96.9,100,100,100,100
3,1,0,73.73,3.1,10.2,26.6,39.1,46.9,74.2
3,1,0.01,73.74,2.3,9.4,14.8,25.8,32,58.6
3,1,0.02,73.62,5.5,7.8,11.7,18.8,25,46.9
3,1,0.03,73.58,2.3,6.2,10.2,12.5,14.8,25.8
3,1,0.04,73.78,3.9,6.2,7,9.4,12.5,21.9
3,1,0.05,73.9,4.7,7,8.6,9.4,10.9,18
3,1,0.06,73.48,6.2,7,7.8,7.8,8.6,13.3
3,1,0.07,73.49,3.9,3.9,5.5,7,8.6,12.5
3,1,0.08,73.23,6.2,7.8,8.6,10.2,10.2,10.2
3,1,0.09,73.04,4.7,5.5,7.8,8.6,8.6,8.6
3,0,0,73.73,29.7,39.8,46.1,51.6,53.9,61.7
3,0,0.01,73.74,25.8,33.6,39.8,46.1,48.4,60.2
3,0,0.02,73.62,26.6,35.9,41.4,43,46.1,55.5
3,0,0.03,73.58,19.5,28.9,35.9,39.1,43,49.2
3,0,0.04,73.78,24.2,30.5,33.6,34.4,37.5,42.2
3,0,0.05,73.9,22.7,26.6,29.7,32.8,32.8,41.4
3,0,0.06,73.48,24.2,27.3,29.7,32,32,39.8
3,0,0.07,73.49,26.6,29.7,32,32.8,34.4,39.8
3,0,0.08,73.23,29.7,32.8,35.2,35.9,38.3,40.6
3,0,0.09,73.04,32,34.4,36.7,39.8,40.6,43.8
4,1,0,69.57,24.2,37.5,45.3,53.9,56.2,73.4
4,1,0.01,69.57,25,50.8,60.2,68.8,71.1,83.6
4,1,0.02,69.2,27.3,38.3,45.3,50.8,57,77.3
4,1,0.03,67.1,26.6,33.6,39.1,43,48.4,58.6
4,1,0.04,63.22,26.6,37.5,43.8,50.8,55.5,62.5
4,1,0.05,58.59,24.2,33.6,38.3,42.2,48.4,63.3
4,1,0.06,51.14,21.9,32.8,39.8,46.9,51.6,59.4
4,1,0.07,43.87,21.9,28.1,32,35.9,38.3,48.4
4,1,0.08,35.73,26.6,35.2,38.3,40.6,43.8,52.3
4,1,0.09,28.21,35.9,44.5,47.7,49.2,51.6,55.5
4,0,0,69.57,99.2,100,100,100,100,100
4,0,0.01,69.57,98.4,100,100,100,100,100
4,0,0.02,69.2,98.4,100,100,100,100,100
4,0,0.03,67.1,97.7,100,100,100,100,100
4,0,0.04,63.22,97.7,100,100,100,100,100
4,0,0.05,58.59,96.9,100,100,100,100,100
4,0,0.06,51.14,98.4,100,100,100,100,100
4,0,0.07,43.87,93,100,100,100,100,100
4,0,0.08,35.73,100,100,100,100,100,100
4,0,0.09,28.21,100,100,100,100,100,100
5,1,0,73.86,4.7,7,8.6,9.4,10.9,18
5,1,0.01,73.46,5.5,8.6,9.4,10.2,10.9,18
5,1,0.02,73.46,4.7,5.5,6.2,8.6,8.6,10.9
5,1,0.03,72.84,4.7,8.6,8.6,10.2,10.9,13.3
5,1,0.04,72.81,4.7,6.2,7,7,7,10.2
5,1,0.05,71.78,5.5,7.8,7.8,7.8,10.2,10.9
5,1,0.06,71,9.4,10.2,10.9,11.7,11.7,15.6
5,1,0.07,70.09,8.6,9.4,9.4,9.4,10.2,12.5
5,1,0.08,68.86,10.2,12.5,14.1,15.6,17.2,21.1
5,1,0.09,68.59,15.6,18,19.5,19.5,20.3,25
5,0,0,73.86,24.2,28.1,33.6,36.7,38.3,42.2
5,0,0.01,73.46,27.3,31.2,35.2,36.7,39.1,48.4
5,0,0.02,73.46,25,31.2,35.2,35.9,36.7,43.8
5,0,0.03,72.84,31.2,35.2,35.9,39.8,39.8,41.4
5,0,0.04,72.81,32.8,35.9,38.3,39.1,39.1,43
5,0,0.05,71.78,41.4,43,47.7,48.4,48.4,54.7
5,0,0.06,71,48.4,53.9,56.2,58.6,59.4,64.1
5,0,0.07,70.09,50.8,55.5,58.6,61.7,68,73.4
5,0,0.08,68.86,66.4,74.2,75,77.3,77.3,92.2
5,0,0.09,68.59,72.7,79.7,87.5,89.8,91.4,100
