exp,targeted,sigma,epsilon,100,200,300,400,500,1000,acc
0,1,0,0.5,7.8,13.3,15.6,22.7,27.3,46.9,74.73
0,1,0,0.8,29.7,50,57.8,67.2,73.4,90.6,74.73
0,1,0,1,58.6,76.6,84.4,88.3,92.2,100,74.73
0,1,0,1.3,80.5,92.2,97.7,100,100,100,74.73
0,1,0,1.5,83.6,94.5,96.9,100,100,100,74.73
0,1,0,1.8,91.4,100,100,100,100,100,74.73
0,1,0,2,100,100,100,100,100,100,74.73
0,0,0,0.5,26.6,43.8,60.2,68,75.8,85.2,74.73
0,0,0,0.8,90.6,93.8,94.5,95.3,100,100,74.73
0,0,0,1,97.7,100,100,100,100,100,74.73
0,0,0,1.3,100,100,100,100,100,100,74.73
0,0,0,1.5,100,100,100,100,100,100,74.73
0,0,0,1.8,100,100,100,100,100,100,74.73
0,0,0,2,100,100,100,100,100,100,74.73
1,1,0.03,0.5,5.5,7,11.7,11.7,13.3,18,72.97
1,1,0.03,0.8,21.9,33.6,39.1,45.3,49.2,60.2,72.97
1,1,0.03,1,34.4,50,57.8,63.3,67.2,80.5,72.97
1,1,0.03,1.3,58.6,72.7,79.7,88.3,90.6,100,72.97
1,1,0.03,1.5,77.3,89.1,95.3,100,100,100,72.97
1,1,0.03,1.8,84.4,94.5,98.4,100,100,100,72.97
1,1,0.03,2,88.3,97.7,100,100,100,100,72.97
1,0,0.03,0.5,28.1,34.4,39.1,41.4,44.5,60.2,72.97
1,0,0.03,0.8,68,92.2,95.3,96.1,100,100,72.97
1,0,0.03,1,99.2,100,100,100,100,100,72.97
1,0,0.03,1.3,100,100,100,100,100,100,72.97
1,0,0.03,1.5,100,100,100,100,100,100,72.97
1,0,0.03,1.8,100,100,100,100,100,100,72.97
1,0,0.03,2,100,100,100,100,100,100,72.97
2,1,0.06,0.5,7.8,9.4,11.7,11.7,11.7,14.1,73.4
2,1,0.06,0.8,11.7,14.8,17.2,22.7,25.8,37.5,73.4
2,1,0.06,1,21.9,35.2,41.4,48.4,53.9,74.2,73.4
2,1,0.06,1.3,45.3,64.8,80.5,85.2,89.8,100,73.4
2,1,0.06,1.5,57.8,80.5,87.5,94.5,96.9,100,73.4
2,1,0.06,1.8,81.2,94.5,99.2,100,100,100,73.4
2,1,0.06,2,93,97.7,100,100,100,100,73.4
2,0,0.06,0.5,41.4,47.7,49.2,51.6,53.9,61.7,73.4
2,0,0.06,0.8,56.2,68,80.5,89.1,92.2,100,73.4
2,0,0.06,1,86.7,100,100,100,100,100,73.4
2,0,0.06,1.3,100,100,100,100,100,100,73.4
2,0,0.06,1.5,100,100,100,100,100,100,73.4
2,0,0.06,1.8,100,100,100,100,100,100,73.4
2,0,0.06,2,100,100,100,100,100,100,73.4
3,1,0.05,0.5,2.3,3.1,3.1,3.1,3.1,3.9,73.9
