exp,targeted,sigma,acc,100,200,300,400,500,1000
1,1,0,68.03,20.3,31.2,32.8,32.8,33.6,37.5
1,1,0.01,68.58,12.5,23.4,27.3,32,32,33.6
1,1,0.02,68.58,7,18.8,21.9,24.2,25,31.2
1,1,0.03,69.13,7,14.8,17.2,18.8,21.1,27.3
1,1,0.04,69.4,8.6,16.4,21.1,24.2,25,38.3
1,1,0.05,67.76,7.8,14.8,18,21.9,23.4,30.5
1,1,0.06,67.21,7.8,11.7,16.4,20.3,21.9,27.3
1,1,0.07,67.49,14.1,18,18.8,21.9,22.7,31.2
1,1,0.08,65.03,8.6,15.6,19.5,21.1,22.7,30.5
1,1,0.09,65.3,10.2,13.3,14.8,18,18.8,26.6
1,0,0,68.03,46.9,57,60.9,62.5,80.5,81.2
1,0,0.01,68.58,44.5,57.8,61.7,63.3,82,82
1,0,0.02,68.58,39.1,56.2,60.2,64.1,79.7,81.2
1,0,0.03,69.13,32.8,55.5,63.3,66.4,82,82
1,0,0.04,69.4,36.7,58.6,63.3,64.1,82,82
1,0,0.05,67.76,42.2,54.7,62.5,64.1,82,83.6
1,0,0.06,67.21,53.9,64.8,68.8,81.2,82,82.8
1,0,0.07,67.49,64.8,71.9,72.7,79.7,79.7,84.4
1,0,0.08,65.03,65.6,73.4,80.5,82,82,85.2
1,0,0.09,65.3,72.7,75.8,81.2,82.8,84.4,87.5
2,1,0,66.94,3.9,16.4,25.8,28.9,29.7,32.8
2,1,0.01,68.03,0.8,5.5,12.5,25,28.1,35.2
2,1,0.02,68.85,5.5,6.2,7.8,20.3,22.7,32
2,1,0.03,66.67,6.2,6.2,6.2,12.5,14.8,29.7
2,1,0.04,67.76,1.6,2.3,2.3,3.1,3.9,14.8
2,1,0.05,67.49,2.3,3.1,3.1,3.9,4.7,13.3
2,1,0.06,68.58,1.6,2.3,2.3,3.9,3.9,10.9
2,1,0.07,68.31,3.1,3.9,4.7,5.5,6.2,14.8
2,1,0.08,68.31,3.1,5.5,5.5,6.2,6.2,16.4
2,1,0.09,66.12,5.5,7.8,10.2,10.9,10.9,15.6
2,0,0,66.94,7.8,18.8,25,26.6,27.3,39.8
2,0,0.01,68.03,10.2,20.3,25.8,28.9,29.7,40.6
2,0,0.02,68.85,9.4,16.4,25,28.9,29.7,43
2,0,0.03,66.67,10.2,14.1,21.9,24.2,25.8,41.4
2,0,0.04,67.76,9.4,14.1,21.9,25,26.6,38.3
2,0,0.05,67.49,10.9,19.5,23.4,25,25.8,42.2
2,0,0.06,68.58,14.8,20.3,22.7,25.8,25.8,40.6
2,0,0.07,68.31,18,18,18.8,19.5,21.9,36.7
2,0,0.08,68.31,20.3,21.9,22.7,24.2,25.8,46.1
2,0,0.09,66.12,19.5,25,26.6,28.1,30.5,39.1
3,1,0,68.58,2.3,8.6,10.9,14.8,16.4,21.9
3,1,0.01,68.58,2.3,5.5,5.5,10.2,12.5,18
3,1,0.02,69.4,0,0.8,1.6,3.9,6.2,14.8
3,1,0.03,68.58,3.1,3.9,3.9,6.2,7,17.2
3,1,0.04,69.13,1.6,3.1,3.1,4.7,4.7,13.3
3,1,0.05,68.03,1.6,2.3,3.1,4.7,4.7,18
3,1,0.06,68.31,1.6,2.3,3.1,4.7,4.7,9.4
3,1,0.07,68.31,1.6,1.6,3.1,3.9,4.7,9.4
3,1,0.08,66.94,0.8,0.8,1.6,1.6,2.3,5.5
3,1,0.09,65.03,1.6,1.6,1.6,1.6,3.9,9.4
3,0,0,68.58,10.9,14.8,17.2,20.3,22.7,39.1
3,0,0.01,68.58,6.2,12.5,18,19.5,22.7,39.8
3,0,0.02,69.4,7,14.8,18,19.5,21.9,39.1
3,0,0.03,68.58,8.6,14.8,18.8,20.3,21.9,40.6
3,0,0.04,69.13,10.2,14.1,18,18.8,19.5,42.2
3,0,0.05,68.03,12.5,14.8,18,18.8,18.8,39.1
3,0,0.06,68.31,12.5,14.8,17.2,18.8,18.8,37.5
3,0,0.07,68.31,11.7,14.1,15.6,17.2,18,37.5
3,0,0.08,66.94,11.7,13.3,14.1,15.6,17.2,32
3,0,0.09,65.03,14.1,19.5,22.7,25,26.6,36.7
5,1,0,68.31,1.6,1.6,3.1,3.9,4.7,9.4
5,1,0.01,67.85,0.8,0.8,0.8,1.6,1.6,2.3
5,1,0.02,65.03,0.8,0.8,0.8,1.6,1.6,2.3
5,1,0.03,62.3,0.8,0.8,0.8,0.8,0.8,2.3
5,1,0.04,51.91,0.8,0.8,0.8,0.8,0.8,2.3
5,1,0.05,47.54,0.8,0.8,0.8,0.8,0.8,2.3
5,1,0.06,44.81,0,0.8,0.8,0.8,0.8,2.3
5,1,0.07,43.17,0,0.8,0.8,0.8,0.8,2.3
5,1,0.08,40.16,0,0.8,0.8,0.8,0.8,2.3
5,1,0.09,36.61,0,0.8,0.8,0.8,0.8,2.3
5,0,0,68.31,11.7,14.1,15.6,17.2,18,37.5
5,0,0.01,67.85,10.2,12.5,14.1,14.8,16.4,27.3
5,0,0.02,65.03,10.9,12.5,14.1,14.1,14.8,26.6
5,0,0.03,62.3,10.9,12.5,14.1,14.1,14.8,26.6
5,0,0.04,51.91,10.2,12.5,14.1,15.6,16.4,25.8
5,0,0.05,47.54,10.2,12.5,14.1,15.6,16.4,25.8
5,0,0.06,44.81,10.2,12.5,14.1,14.1,14.8,25.8
5,0,0.07,43.17,10.2,12.5,14.1,14.1,14.8,25.8
5,0,0.08,40.16,10.2,12.5,14.8,14.8,15.6,25
5,0,0.09,36.61,10.2,13.3,15.6,16.4,16.4,28.9
