exp,targeted,sigma,epsilon,100,200,300,400,500,1000,acc
0,1,0,0.5,3.1,17.2,24.2,25.8,28.9,33.6,68.03
0,1,0,0.8,13.3,30.5,31.2,32,32,36.7,68.03
0,1,0,1,20.3,31.2,32.8,32.8,33.6,37.5,68.03
0,1,0,1.3,28.1,33.6,34.4,35.2,35.2,40.6,68.03
0,1,0,1.5,28.9,35.9,35.9,35.9,35.9,41.4,68.03
0,1,0,1.8,33.6,35.9,35.9,36.7,36.7,41.4,68.03
0,1,0,2,32,35.2,36.7,37.5,37.5,41.4,68.03
0,0,0,0.5,14.1,31.2,36.7,39.8,40.6,71.9,68.03
0,0,0,0.8,30.5,49.2,49.2,51.6,77.3,78.9,68.03
0,0,0,1,46.9,57,60.9,62.5,80.5,81.2,68.03
0,0,0,1.3,57,65.6,70.3,85.9,85.9,90.6,68.03
0,0,0,1.5,63.3,73.4,75.8,92.2,93,100,68.03
0,0,0,1.8,71.9,78.9,99.2,100,100,100,68.03
0,0,0,2,78.1,78.9,100,100,100,100,68.03
1,1,0.03,0.5,4.7,5.5,5.5,6.2,7,13.3,69.13
1,1,0.03,0.8,5.5,7.8,10.9,14.1,15.6,25.8,69.13
1,1,0.03,1,7,14.8,17.2,18.8,21.1,27.3,69.13
1,1,0.03,1.3,13.3,21.1,25.8,28.1,28.9,32.8,69.13
1,1,0.03,1.5,18.8,26.6,27.3,28.1,29.7,34.4,69.13
1,1,0.03,1.8,23.4,27.3,28.1,28.9,30.5,35.2,69.13
1,1,0.03,2,25,28.1,28.1,28.9,28.9,35.2,69.13
1,0,0.03,0.5,14.8,20.3,28.1,30.5,31.2,69.5,69.13
1,0,0.03,0.8,26.6,43,47.7,52.3,54.7,79.7,69.13
1,0,0.03,1,32.8,55.5,63.3,66.4,82,82,69.13
1,0,0.03,1.3,60.9,67.2,71.1,88.3,88.3,100,69.13
1,0,0.03,1.5,64.8,75,93,94.5,99.2,100,69.13
1,0,0.03,1.8,72.7,78.9,99.2,100,100,100,69.13
1,0,0.03,2,78.1,79.7,100,100,100,100,69.13
2,1,0.06,0.5,1.6,1.6,1.6,1.6,1.6,1.6,68.58
2,1,0.06,0.8,1.6,1.6,1.6,3.1,3.1,5.5,68.58
2,1,0.06,1,1.6,2.3,2.3,3.9,3.9,10.9,68.58
2,1,0.06,1.3,1.6,3.9,5.5,10.2,12.5,24.2,68.58
2,1,0.06,1.5,3.1,5.5,7,14.1,15.6,28.9,68.58
2,1,0.06,1.8,5.5,10.9,16.4,21.9,25.8,35.2,68.58
2,1,0.06,2,9.4,17.2,25,28.1,29.7,39.1,68.58
2,0,0.06,0.5,14.8,14.8,15.6,16.4,17.2,18.8,68.58
2,0,0.06,0.8,15.6,17.2,18,18.8,20.3,31.2,68.58
2,0,0.06,1,14.8,20.3,22.7,25.8,25.8,40.6,68.58
2,0,0.06,1.3,19.5,24.2,27.3,28.1,30.5,51.6,68.58
2,0,0.06,1.5,25,29.7,32.8,37.5,37.5,57,68.58
2,0,0.06,1.8,27.3,29.7,37.5,41.4,43,62.5,68.58
2,0,0.06,2,30.5,32.8,41.4,43,44.5,71.9,68.58
3,1,0.07,0.5,0,0,0,0,0,2.3,68.31
3,1,0.07,0.8,0.8,1.6,2.3,2.3,2.3,5.5,68.31
3,1,0.07,1,1.6,1.6,3.1,3.9,4.7,9.4,68.31
3,1,0.07,1.3,2.3,5.5,6.2,9.4,10.2,20.3,68.31
3,1,0.07,1.5,2.3,7.8,7.8,10.2,11.7,23.4,68.31
3,1,0.07,1.8,4.7,8.6,9.4,14.1,16.4,25,68.31
3,1,0.07,2,6.2,10.2,11.7,14.8,18.8,31.2,68.31
3,0,0.07,0.5,10.9,12.5,12.5,12.5,12.5,16.4,68.31
3,0,0.07,0.8,11.7,13.3,13.3,14.1,14.1,25.8,68.31
3,0,0.07,1,11.7,14.1,15.6,17.2,18,37.5,68.31
3,0,0.07,1.3,13.3,16.4,20.3,21.9,22.7,53.1,68.31
3,0,0.07,1.5,13.3,19.5,25.8,25.8,25.8,54.7,68.31
3,0,0.07,1.8,18.8,27.3,32.8,33.6,36.7,65.6,68.31
3,0,0.07,2,27.3,32,42.2,43,43.8,70.3,68.31
5,1,0.01,0.5,1.6,1.6,1.6,1.6,1.6,1.6,67.85
5,1,0.01,0.8,0.8,0.8,0.8,0.8,0.8,2.3,67.85
5,1,0.01,1,0.8,0.8,0.8,1.6,1.6,2.3,67.85
5,1,0.01,1.3,0.8,0.8,0.8,1.6,1.6,6.2,67.85
5,1,0.01,1.5,0.8,0.8,0.8,1.6,2.3,7,67.85
5,1,0.01,1.8,0.8,1.6,1.6,2.3,2.3,11.7,67.85
5,1,0.01,2,0.8,2.3,2.3,3.9,3.9,14.8,67.85
5,0,0.01,0.5,10.9,11.7,11.7,12.5,12.5,13.3,67.85
5,0,0.01,0.8,9.4,12.5,14.1,14.1,14.8,21.1,67.85
5,0,0.01,1,10.2,12.5,14.1,14.8,16.4,27.3,67.85
5,0,0.01,1.3,10.9,14.1,18,19.5,19.5,43.8,67.85
5,0,0.01,1.5,10.9,20.3,25,25.8,26.6,58.6,67.85
5,0,0.01,1.8,13.3,24.2,32.8,32.8,33.6,69.5,67.85
5,0,0.01,2,14.1,29.7,38.3,41.4,44.5,77.3,67.85
