exp,targeted,sigma,epsilon,100,200,300,400,500,1000,acc
0,1,0,0.5,16.4,27.3,35.9,38.3,39.1,39.8,76.15
0,1,0,0.8,30.5,37.5,38.3,39.1,43,43,76.15
0,1,0,1,35.2,42.2,42.2,43.8,46.1,46.9,76.15
0,1,0,1.3,41.4,43.8,46.9,49.2,51.6,51.6,76.15
0,1,0,1.5,43,46.9,49.2,50,50,53.1,76.15
0,1,0,1.8,43,46.9,49.2,50.8,53.1,54.7,76.15
0,1,0,2,45.3,46.9,50.8,51.6,51.6,56.2,76.15
0,0,0,0.5,39.8,49.2,51.6,54.7,54.7,62.5,76.15
0,0,0,0.8,55.5,60.2,69.5,70.3,81.2,82.8,76.15
0,0,0,1,70.3,78.1,78.1,85.9,86.7,100,76.15
0,0,0,1.3,83.6,94.5,95.3,100,100,100,76.15
0,0,0,1.5,94.5,100,100,100,100,100,76.15
0,0,0,1.8,100,100,100,100,100,100,76.15
0,0,0,2,100,100,100,100,100,100,76.15
1,1,0.01,0.5,10.2,13.3,17.2,22.7,26.6,37.5,76.35
1,1,0.01,0.8,20.3,23.4,30.5,36.7,39.8,43,76.35
1,1,0.01,1,22.7,26.6,35.9,39.1,39.8,46.9,76.35
1,1,0.01,1.3,32.8,41.4,45.3,48.4,50,52.3,76.35
1,1,0.01,1.5,36.7,46.1,48.4,52.3,52.3,53.9,76.35
1,1,0.01,1.8,35.9,43.8,46.1,51.6,51.6,57,76.35
1,1,0.01,2,39.1,44.5,48.4,50.8,52.3,57.8,76.35
1,0,0.01,0.5,28.9,36.7,46.9,53.1,53.1,64.8,76.35
1,0,0.01,0.8,49.2,57,67.2,68.8,72.7,79.7,76.35
1,0,0.01,1,66.4,75,76.6,85.9,85.9,100,76.35
1,0,0.01,1.3,82.8,88.3,96.1,100,100,100,76.35
1,0,0.01,1.5,93.8,100,100,100,100,100,76.35
1,0,0.01,1.8,100,100,100,100,100,100,76.35
1,0,0.01,2,100,100,100,100,100,100,76.35
2,1,0.04,0.5,0.8,0.8,0.8,0.8,0.8,2.3,73.75
2,1,0.04,0.8,1.6,1.6,2.3,2.3,3.1,6.2,73.75
2,1,0.04,1,1.6,1.6,3.1,5.5,5.5,12.5,73.75
2,1,0.04,1.3,3.1,3.1,8.6,10.2,12.5,21.9,73.75
2,1,0.04,1.5,3.9,4.7,9.4,11.7,14.1,25,73.75
2,1,0.04,1.8,4.7,6.2,14.8,18,20.3,27.3,73.75
2,1,0.04,2,7,10.9,14.8,19.5,21.9,31.2,73.75
2,0,0.04,0.5,11.7,12.5,15.6,16.4,16.4,28.9,73.75
2,0,0.04,0.8,13.3,18,25,27.3,32,45.3,73.75
2,0,0.04,1,20.3,21.9,30.5,32.8,38.3,52.3,73.75
2,0,0.04,1.3,26.6,29.7,38.3,39.8,46.1,60.2,73.75
2,0,0.04,1.5,31.2,34.4,41.4,50,50.8,65.6,73.75
2,0,0.04,1.8,41.4,47.7,52.3,57,66.4,76.6,73.75
2,0,0.04,2,41.4,50,54.7,60.9,71.9,79.7,73.75
3,1,0.05,0.5,0,0,0,0,0,1.6,73.75
3,1,0.05,0.8,0,0,0.8,2.3,2.3,4.7,73.75
3,1,0.05,1,0.8,1.6,2.3,2.3,3.9,9.4,73.75
3,1,0.05,1.3,2.3,2.3,4.7,8.6,10.9,18,73.75
3,1,0.05,1.5,3.1,4.7,7.8,12.5,14.1,21.9,73.75
3,1,0.05,1.8,7,10.2,15.6,18.8,20.3,25,73.75
3,1,0.05,2,8.6,11.7,15.6,19.5,21.1,25.8,73.75
3,0,0.05,0.5,14.8,15.6,18.8,20.3,20.3,23.4,73.75
3,0,0.05,0.8,14.8,16.4,22.7,26.6,29.7,46.9,73.75
3,0,0.05,1,18,19.5,27.3,30.5,35.2,52.3,73.75
3,0,0.05,1.3,25,26.6,36.7,40.6,45.3,67.2,73.75
3,0,0.05,1.5,28.1,32,39.1,50,51.6,76.6,73.75
3,0,0.05,1.8,39.1,45.3,49.2,57.8,64.1,84.4,73.75
3,0,0.05,2,41.4,48.4,51.6,60.9,69.5,100,73.75
5,1,0.06,0.5,0,0,0,0,0,1.6,75.25
5,1,0.06,0.8,0,0,0.8,2.3,2.3,4.7,75.25
5,1,0.06,1,0.8,1.6,2.3,2.3,3.9,9.4,75.25
5,1,0.06,1.3,2.3,2.3,4.7,8.6,10.9,18,75.25
5,1,0.06,1.5,3.1,4.7,7.8,12.5,14.1,21.9,75.25
5,1,0.06,1.8,7,10.2,15.6,18.8,20.3,25,75.25
5,1,0.06,2,8.6,11.7,15.6,19.5,21.1,25.8,75.25
5,0,0.06,0.5,13.3,16.4,16.4,16.4,16.4,21.9,75.25
5,0,0.06,0.8,14.1,18.8,21.9,24.2,25.8,32,75.25
5,0,0.06,1,14.8,17.2,21.9,24.2,25.8,46.9,75.25
5,0,0.06,1.3,19.5,21.9,27.3,28.9,35.2,56.2,75.25
5,0,0.06,1.5,23.4,25,32.8,35.9,45.3,64.8,75.25
5,0,0.06,1.8,25.8,29.7,39.1,47.7,52.3,78.9,75.25
5,0,0.06,2,32.8,35.2,46.9,56.2,57.8,82.8,75.25
